JAJPXI010000169.1 3000.0 5999.0 JAUNSG010000001.1 22113.0 25112.0 74.3585
MN091626.1 13879.0 16878.0 MW218148.1 0.0 2999.0 85.9294
MN091626.1 19879.0 22878.0 MW218148.1 5720.0 8719.0 85.4545
MN091626.1 22879.0 25878.0 MW218148.1 8698.0 11697.0 77.2651
MN091626.1 25879.0 28878.0 MW218148.1 11969.0 14968.0 83.127
MN091626.1 34879.0 37878.0 MW218148.1 19207.0 22206.0 88.2533
MN091626.1 37879.0 40878.0 MW218148.1 21302.0 24301.0 82.2141
MN091626.1 7879.0 10878.0 MW349128.1 201312.0 204311.0 89.3701
MN091626.1 10879.0 13878.0 MW349128.1 203531.0 206530.0 91.5791
MN091626.1 13879.0 16878.0 MW349128.1 208457.0 211456.0 91.6303
MN091626.1 16879.0 19878.0 MW349128.1 211432.0 214431.0 89.6242
MN091626.1 19879.0 22878.0 MW349128.1 214500.0 217499.0 92.3056
MN091626.1 22879.0 25878.0 MW349128.1 217340.0 220339.0 82.452
MN091626.1 31879.0 34878.0 MW349128.1 227175.0 230174.0 86.469
MN091626.1 34879.0 37878.0 MW349128.1 230030.0 233029.0 86.1689
MN091626.1 40879.0 43878.0 MW349128.1 234149.0 237148.0 83.7332
MN091626.1 7879.0 10878.0 MW349129.1 196132.0 199131.0 95.7085
MN091626.1 10879.0 13878.0 MW349129.1 199040.0 202039.0 92.6553
MN091626.1 13879.0 16878.0 MW349129.1 203373.0 206372.0 96.2356
MN091626.1 16879.0 19878.0 MW349129.1 206313.0 209312.0 95.3388
MN091626.1 19879.0 22878.0 MW349129.1 209286.0 212285.0 96.9656
MN091626.1 22879.0 25878.0 MW349129.1 212270.0 215269.0 95.203
MN091626.1 25879.0 28878.0 MW349129.1 215296.0 218295.0 93.2455
MN091626.1 28879.0 31878.0 MW349129.1 218486.0 221485.0 94.5409
MN091626.1 31879.0 34878.0 MW349129.1 221415.0 224414.0 90.0379
MN091626.1 34879.0 37878.0 MW349129.1 224177.0 227176.0 92.6334
MN091626.1 40879.0 43878.0 MW349129.1 228339.0 231338.0 88.7275
MN091626.1 40879.0 43878.0 OR836606.1 58723.0 61722.0 84.366
MN091626.1 37879.0 40878.0 OR836606.1 62186.0 65185.0 77.0231
MN091626.1 34879.0 37878.0 OR836606.1 63544.0 66543.0 88.2533
MN091626.1 28879.0 31878.0 OR836606.1 67755.0 70754.0 93.35
MN091626.1 25879.0 28878.0 OR836606.1 70885.0 73884.0 88.5464
MN091626.1 22879.0 25878.0 OR836606.1 73795.0 76794.0 91.4793
MN091626.1 19879.0 22878.0 OR836606.1 76794.0 79793.0 92.8107
MN091626.1 16879.0 19878.0 OR836606.1 80055.0 83054.0 89.1508
MN091626.1 13879.0 16878.0 OR836606.1 84441.0 87440.0 94.3518
MN091626.1 10879.0 13878.0 OR836606.1 87531.0 90530.0 92.5336
