gene_id	id	product	target_prot	target_nuc	unique_id	cluster	padloc_system	padloc_gene
WP_298651952.1	WP_298651952.1	hypothetical protein	WP_298651889.1	NZ_CALAOE010000005.1	2	338		
WP_298651721.1	WP_298651721.1	FAD-dependent thymidylate synthase	WP_298651889.1	NZ_CALAOE010000005.1	2			
WP_298651725.1	WP_298651725.1	hypothetical protein	WP_298651889.1	NZ_CALAOE010000005.1	2			
WP_298651728.1	WP_298651728.1	hypothetical protein	WP_298651889.1	NZ_CALAOE010000005.1	2	7		
WP_298651731.1	WP_298651731.1	PHP domain-containing protein	WP_298651889.1	NZ_CALAOE010000005.1	2	8		
WP_298651734.1	WP_298651734.1	CHC2 zinc finger domain-containing protein	WP_298651889.1	NZ_CALAOE010000005.1	2	35		
WP_298651737.1	WP_298651737.1	DnaB-like helicase C-terminal domain-containing protein	WP_298651889.1	NZ_CALAOE010000005.1	2	20		
WP_298651740.1	WP_298651740.1	PD-(D/E)XK nuclease family protein	WP_298651889.1	NZ_CALAOE010000005.1	2	9		
WP_298651743.1	WP_298651743.1	hypothetical protein	WP_298651889.1	NZ_CALAOE010000005.1	2	19		
WP_298651746.1	WP_298651746.1	ERF family protein	WP_298651889.1	NZ_CALAOE010000005.1	2	22		
WP_298651749.1	WP_298651749.1	HD domain-containing protein	WP_298651889.1	NZ_CALAOE010000005.1	2	26		
WP_298651752.1	WP_298651752.1	hypothetical protein	WP_298651889.1	NZ_CALAOE010000005.1	2			
WP_298651754.1	WP_298651754.1	hypothetical protein	WP_298651889.1	NZ_CALAOE010000005.1	2	53		
WP_298651757.1	WP_298651757.1	type II toxin-antitoxin system PemK/MazF family toxin	WP_298651889.1	NZ_CALAOE010000005.1	2	13		
WP_298651760.1	WP_298651760.1	hypothetical protein	WP_298651889.1	NZ_CALAOE010000005.1	2			
WP_298651763.1	WP_298651763.1	S24 family peptidase	WP_298651889.1	NZ_CALAOE010000005.1	2	101		
WP_298651766.1	WP_298651766.1	hypothetical protein	WP_298651889.1	NZ_CALAOE010000005.1	2	32		
WP_298651769.1	WP_298651769.1	hypothetical protein	WP_298651889.1	NZ_CALAOE010000005.1	2			
WP_298651772.1	WP_298651772.1	hypothetical protein	WP_298651889.1	NZ_CALAOE010000005.1	2	157		
WP_298651775.1	WP_298651775.1	hypothetical protein	WP_298651889.1	NZ_CALAOE010000005.1	2	158		
WP_298651777.1	WP_298651777.1	hypothetical protein	WP_298651889.1	NZ_CALAOE010000005.1	2	145		
WP_298651780.1	WP_298651780.1	hypothetical protein	WP_298651889.1	NZ_CALAOE010000005.1	2	150		
WP_366915097.1	WP_366915097.1	HD domain-containing protein	WP_298651889.1	NZ_CALAOE010000005.1	2	37		
WP_298651783.1	WP_298651783.1	nucleotidyltransferase domain-containing protein	WP_298651889.1	NZ_CALAOE010000005.1	2	38		
WP_298651785.1	WP_298651785.1	hypothetical protein	WP_298651889.1	NZ_CALAOE010000005.1	2	348		
WP_298651788.1	WP_298651788.1	cysteine desulfurase family protein	WP_298651889.1	NZ_CALAOE010000005.1	2	15		
WP_366915098.1	WP_366915098.1	hypothetical protein	WP_298651889.1	NZ_CALAOE010000005.1	2	18		
WP_298651793.1	WP_298651793.1	hypothetical protein	WP_298651889.1	NZ_CALAOE010000005.1	2			
WP_298651796.1	WP_298651796.1	hypothetical protein	WP_298651889.1	NZ_CALAOE010000005.1	2	339		
WP_298651799.1	WP_298651799.1	tRNA(His) guanylyltransferase Thg1 family protein	WP_298651889.1	NZ_CALAOE010000005.1	2	36		
WP_298651801.1	WP_298651801.1	helix-turn-helix transcriptional regulator	WP_298651889.1	NZ_CALAOE010000005.1	2			
WP_298651804.1	WP_298651804.1	HNH endonuclease	WP_298651889.1	NZ_CALAOE010000005.1	2	31		
WP_298651806.1	WP_298651806.1	hypothetical protein	WP_298651889.1	NZ_CALAOE010000005.1	2	408		
WP_298651809.1	WP_298651809.1	hypothetical protein	WP_298651889.1	NZ_CALAOE010000005.1	2			
WP_298651812.1	WP_298651812.1	hypothetical protein	WP_298651889.1	NZ_CALAOE010000005.1	2	246		
WP_298651817.1	WP_298651817.1	hypothetical protein	WP_298651889.1	NZ_CALAOE010000005.1	2	392		
WP_298651820.1	WP_298651820.1	hypothetical protein	WP_298651889.1	NZ_CALAOE010000005.1	2	428		
WP_298651822.1	WP_298651822.1	hypothetical protein	WP_298651889.1	NZ_CALAOE010000005.1	2			
WP_298651825.1	WP_298651825.1	hypothetical protein	WP_298651889.1	NZ_CALAOE010000005.1	2			
WP_298651828.1	WP_298651828.1	hypothetical protein	WP_298651889.1	NZ_CALAOE010000005.1	2			
WP_298651831.1	WP_298651831.1	hypothetical protein	WP_298651889.1	NZ_CALAOE010000005.1	2			
WP_298651834.1	WP_298651834.1	hypothetical protein	WP_298651889.1	NZ_CALAOE010000005.1	2	161		
WP_298651837.1	WP_298651837.1	hypothetical protein	WP_298651889.1	NZ_CALAOE010000005.1	2	387		
WP_298651839.1	WP_298651839.1	hypothetical protein	WP_298651889.1	NZ_CALAOE010000005.1	2	346		
WP_298651841.1	WP_298651841.1	hypothetical protein	WP_298651889.1	NZ_CALAOE010000005.1	2	103		
WP_298651844.1	WP_298651844.1	hypothetical protein	WP_298651889.1	NZ_CALAOE010000005.1	2	159		
WP_298651847.1	WP_298651847.1	glucosaminidase domain-containing protein	WP_298651889.1	NZ_CALAOE010000005.1	2			
WP_298651850.1	WP_298651850.1	hypothetical protein	WP_298651889.1	NZ_CALAOE010000005.1	2	11		
WP_298651852.1	WP_298651852.1	hypothetical protein	WP_298651889.1	NZ_CALAOE010000005.1	2	213		
WP_298651854.1	WP_298651854.1	RNA ligase family protein	WP_298651889.1	NZ_CALAOE010000005.1	2	78		
WP_298651856.1	WP_298651856.1	hypothetical protein	WP_298651889.1	NZ_CALAOE010000005.1	2	67		
WP_298651859.1	WP_298651859.1	hypothetical protein	WP_298651889.1	NZ_CALAOE010000005.1	2	212		
WP_298651862.1	WP_298651862.1	prohibitin family protein	WP_298651889.1	NZ_CALAOE010000005.1	2	28		
WP_298651864.1	WP_298651864.1	hypothetical protein	WP_298651889.1	NZ_CALAOE010000005.1	2	59		
WP_298651867.1	WP_298651867.1	hypothetical protein	WP_298651889.1	NZ_CALAOE010000005.1	2	33		
WP_298651870.1	WP_298651870.1	hypothetical protein	WP_298651889.1	NZ_CALAOE010000005.1	2	42		
WP_298651872.1	WP_298651872.1	RtcB family protein	WP_298651889.1	NZ_CALAOE010000005.1	2	75		
WP_298651875.1	WP_298651875.1	hypothetical protein	WP_298651889.1	NZ_CALAOE010000005.1	2			
WP_298651878.1	WP_298651878.1	hypothetical protein	WP_298651889.1	NZ_CALAOE010000005.1	2	10		
WP_298651880.1	WP_298651880.1	DUF3990 domain-containing protein	WP_298651889.1	NZ_CALAOE010000005.1	2	342		
WP_298651883.1	WP_298651883.1	hypothetical protein	WP_298651889.1	NZ_CALAOE010000005.1	2			
WP_298651886.1	WP_298651886.1	metallophosphoesterase	WP_298651889.1	NZ_CALAOE010000005.1	2	7		
WP_298651889.1	WP_298651889.1	reverse transcriptase domain-containing protein	WP_298651889.1	NZ_CALAOE010000005.1	2	1		
WP_298651892.1	WP_298651892.1	hypothetical protein	WP_298651889.1	NZ_CALAOE010000005.1	2	147		
WP_298651894.1	WP_298651894.1	ThiF family adenylyltransferase	WP_298651889.1	NZ_CALAOE010000005.1	2	3		
WP_298651897.1	WP_298651897.1	hypothetical protein	WP_298651889.1	NZ_CALAOE010000005.1	2	4		
WP_298651900.1	WP_298651900.1	hypothetical protein	WP_298651889.1	NZ_CALAOE010000005.1	2	5		
WP_298651903.1	WP_298651903.1	hypothetical protein	WP_298651889.1	NZ_CALAOE010000005.1	2	2		
WP_298651906.1	WP_298651906.1	hypothetical protein	WP_298651889.1	NZ_CALAOE010000005.1	2	2		
WP_298651909.1	WP_298651909.1	DUF6273 domain-containing protein	WP_298651889.1	NZ_CALAOE010000005.1	2	16		
WP_298651912.1	WP_298651912.1	hypothetical protein	WP_298651889.1	NZ_CALAOE010000005.1	2	12		
WP_298651914.1	WP_298651914.1	hypothetical protein	WP_298651889.1	NZ_CALAOE010000005.1	2	54		
WP_298651917.1	WP_298651917.1	radical SAM protein	WP_298651889.1	NZ_CALAOE010000005.1	2	166		
WP_298651920.1	WP_298651920.1	hypothetical protein	WP_298651889.1	NZ_CALAOE010000005.1	2			
WP_298651922.1	WP_298651922.1	hypothetical protein	WP_298651889.1	NZ_CALAOE010000005.1	2	341		
WP_298651925.1	WP_298651925.1	hypothetical protein	WP_298651889.1	NZ_CALAOE010000005.1	2	340		
WP_298651927.1	WP_298651927.1	hypothetical protein	WP_298651889.1	NZ_CALAOE010000005.1	2	61		
WP_298651930.1	WP_298651930.1	HU family DNA-binding protein	WP_298651889.1	NZ_CALAOE010000005.1	2	24		
WP_298651933.1	WP_298651933.1	hypothetical protein	WP_298651889.1	NZ_CALAOE010000005.1	2	148		
WP_298651937.1	WP_298651937.1	hypothetical protein	WP_298651889.1	NZ_CALAOE010000005.1	2	30		
WP_298651940.1	WP_298651940.1	hypothetical protein	WP_298651889.1	NZ_CALAOE010000005.1	2	105		
