hood_id	seqid	start	end	align_gene
2	NZ_JAARXN010000003.1	457330	489856	WP_185560007.1
0	MDOY01000015.1	406223	439169	ODE53167.1
3	NZ_JAASTQ010000003.1	322161	354383	WP_185360443.1
9	DAILAJ010000083.1	0	10380	HCJ4860716.1
4	NZ_JAASUI010000002.1	466771	499068	WP_185391972.1
5	NZ_JAIQYG010000001.1	496322	528806	WP_230908252.1
1	NZ_JAIQYN010000002.1	0	32176	WP_230907626.1
6	NZ_JAASWU010000009.1	0	23711	WP_185590804.1
11	AABFNI010000031.1	0	6455	EAH1647398.1
8	NZ_RBYI01000011.1	78656	112326	WP_203573398.1
10	AAAYUY010000114.1	0	3486	EAF7906877.1
13	ABJFKE010000019.1	0	6021	EKC0281169.1
12	NZ_JAGVRA010000103.1	0	7994	WP_219638544.1
14	NZ_JAEDXU010000007.1	179740	223754	WP_209558162.1
21	JBKEDL010000041.1	0	36773	MFV0558057.1
20	NZ_JBQEMJ010000035.1	0	24467	WP_441656909.1
16	NZ_CWMR01000238.1	0	4665	WP_072240946.1
19	NZ_JARQAJ010000002.1	0	38474	WP_311829562.1
17	NZ_JBHLVS010000013.1	289730	333726	WP_071862060.1
18	NZ_CABKUJ010000007.1	563011	607004	WP_048604708.1
22	NZ_JARQAI010000001.1	270864	314857	WP_311796436.1
23	NZ_JAATJW010000020.1	0	39314	WP_167629302.1
7	NZ_CP063071.1	2611594	2655593	WP_196318727.1
24	NZ_JARPZC010000012.1	64584	94587	WP_311806273.1
27	NZ_BAAFRV010000009.1	61833	97290	WP_407857349.1
32	JBKEDT010000006.1	0	10561	MFV0559315.1
30	NZ_JADMFT010000003.1	0	42198	WP_231475690.1
33	AAUEBS010000058.1	0	10644	EFS0594767.1
28	NZ_CAAKNX010000103.1	55877	99885	WP_142447318.1
25	NZ_KB946329.1	1257717	1301722	WP_010770040.1
31	NZ_JAJDJW010000001.1	114742	158753	WP_229443200.1
29	NZ_JARPYF010000001.1	191644	235652	WP_311820952.1
26	CM001050.1	2945318	2988180	EFR95520.1
35	NZ_CABGJV010000004.1	38691	82711	WP_142959334.1
34	NZ_JAWGOQ010000025.1	5741	49746	WP_316404430.1
36	NZ_CWMK01000184.1	0	2710	WP_072239674.1
38	NZ_JBGQQX010000033.1	0	26855	WP_407109065.1
39	JBQELA010000017.1	10013	46414	MGO3732698.1
15	NZ_CP147247.1	3284241	3328255	WP_086350882.1
41	NZ_AHRP01000055.1	0	18613	WP_002275430.1
37	NZ_FNVY01000004.1	1093245	1137274	WP_071131842.1
43	NZ_JALFWL010000101.1	4196	31650	WP_273415421.1
48	NZ_PXZH01000003.1	17861	61869	WP_125943489.1
46	NZ_MOWR01000006.1	26659	70691	WP_075346866.1
47	NZ_FOWN01000004.1	103442	139371	WP_089800158.1
44	NZ_FYBO01000002.1	113288	157284	WP_088838826.1
45	NZ_JAQHXU010000005.1	0	33131	WP_271016116.1
49	NZ_JAFBFD010000022.1	21706	48491	WP_204654233.1
50	NZ_DPZI01000013.1	0	27945	WP_086950450.1
42	NZ_JBIOQP010000001.1	1844404	1888427	WP_438732295.1
55	NZ_CAAEGO010000003.1	39329	82330	WP_295333984.1
51	NZ_RIGW01000028.1	27486	71509	WP_259742034.1
52	NZ_QJJR01000004.1	186254	230280	WP_110251082.1
53	NZ_JAFLVX010000002.1	85290	113369	WP_206964157.1
56	NZ_AHRC01000040.1	0	26762	WP_002264920.1
54	NZ_FMYI01000002.1	337684	381698	WP_090793453.1
57	NZ_QFAY01000012.1	50101	81957	WP_209551351.1
61	NZ_JBSMUK010000012.1	0	33709	WP_455324848.1
40	NZ_CM001051.1	2714222	2756849	WP_003749665.1
60	NZ_JAVIUZ010000001.1	49974	94054	WP_002304487.1
65	NZ_JBHTJB010000004.1	0	40143	WP_205017126.1
62	NZ_JAVWLN010000002.1	326193	370222	WP_332495938.1
64	NZ_JBQEIL010000001.1	0	26253	WP_442258993.1
67	NZ_JALDWB010000004.1	92612	127444	WP_247944636.1
66	NZ_JARQAL010000001.1	242435	286425	WP_311832714.1
59	NZ_KB373321.1	0	34989	WP_009729476.1
58	NZ_CP058666.1	1597608	1641721	WP_179862421.1
68	NZ_FPAI01000011.1	48120	92049	WP_089854321.1
72	NZ_JBINIY010000019.1	0	24150	WP_394405862.1
71	JAMXJG010000006.1	26010	70006	MCW6676628.1
70	NZ_JAFFHN010000009.1	0	31721	WP_105139793.1
63	NZ_GL622241.1	2020210	2064203	WP_007209003.1
73	NZ_JADNLY010000002.1	293070	337162	WP_195435480.1
75	NZ_WVEP01000012.1	2161	46175	WP_149256267.1
74	NZ_JBCLRY010000005.1	89749	133769	WP_369886579.1
69	NZ_WNIX01000001.1	1087529	1131663	WP_050197119.1
76	NZ_CADEHI010000001.1	236609	280677	WP_174720700.1
79	NZ_KE136489.1	28671	72691	WP_010750235.1
80	NZ_JARQBM010000009.1	61865	105882	WP_311930871.1
89	NZ_JACZBM010000017.1	0	15499	WP_192211472.1
85	NZ_SDMH01000001.1	220120	264224	WP_129284051.1
83	NZ_JAYEVO010000011.1	49000	93029	WP_399284017.1
91	NZ_JBIQFP010000007.1	57426	101437	WP_406910890.1
77	NZ_AP018726.1	887099	931203	WP_129555603.1
81	NZ_CP041626.1	776441	820440	WP_143333305.1
78	NZ_CP102451.1	1154399	1198407	WP_257699401.1
82	NZ_CP017267.1	654375	698383	WP_071456514.1
94	NZ_CP019609.1	982014	1026013	WP_077275696.1
96	NZ_CP129527.1	1379637	1423702	WP_301899337.1
