domain_id	Clan_pfam	Function_pfam	Gene_pfam	alignment_length	bit_score
PF01740	CL0502	STAS domain	STAS	106.0	73.95
PF18541		RuvC endonuclease subdomain 3	RuvC_III	78.0	23.02
PF00326	CL0028	Prolyl oligopeptidase family	Peptidase_S9	214.0	171.98
PF02566		OsmC-like protein	OsmC	91.0	31.33
PF02803	CL0046	Thiolase, C-terminal domain	Thiolase_C	123.0	172.74
PF04892		VanZ like family 	VanZ	149.0	68.21
PF13349	CL0268	Putative adhesin	DUF4097	315.0	61.37
PF08220	CL0123	DeoR-like helix-turn-helix domain	HTH_DeoR	57.0	61.31
PF03466	CL0177	LysR substrate binding domain	LysR_substrate	202.0	45.13
PF02146	CL0063	Sir2 family	SIR2	178.0	163.73
PF05043	CL0123	Mga helix-turn-helix domain	Mga	89.0	59.35
PF03612		Sorbitol phosphotransferase enzyme II N-terminus	EIIBC-GUT_N	186.0	234.56
PF02896	CL0036	PEP-utilising enzyme, PEP-binding domain	PEP-utilizers_C	295.0	439.44
PF01035	CL0123	6-O-methylguanine DNA methyltransferase, DNA binding domain	DNA_binding_1	81.0	109.68
PF20317	CL0123	Helix-turn-helix domain	HTH_60	113.0	57.83
PF01136		Peptidase family U32	Peptidase_U32	233.0	298.04
PF00766	CL0063	Electron transfer flavoprotein FAD-binding domain	ETF_alpha	79.0	85.27
PF00403	CL0704	Heavy-metal-associated domain	HMA	122.0	58.6
PF02838	CL0546	Glycosyl hydrolase family 20, domain 2	Glyco_hydro_20b	134.0	39.71
PF00512	CL0025	His Kinase A (phospho-acceptor) domain	HisKA	62.0	53.6
PF11797		Protein of unknown function C-terminal (DUF3324)	DUF3324	141.0	103.36
PF13930	CL0263	DNA/RNA non-specific endonuclease	Endonuclea_NS_2	149.0	75.1
PF00149	CL0163	Calcineurin-like phosphoesterase	Metallophos	200.0	54.8
PF00121	CL0036	Triosephosphate isomerase	TIM	213.0	65.66
PF12850	CL0163	Calcineurin-like phosphoesterase superfamily domain	Metallophos_2	208.0	60.19
PF01225	CL0063	Mur ligase family, catalytic domain	Mur_ligase	76.0	29.39
PF09966		Uncharacterized protein conserved in bacteria (DUF2200)	DUF2200	110.0	158.43
PF01757	CL0316	Acyltransferase family	Acyl_transf_3	306.0	62.74
PF11799		impB/mucB/samB family C-terminal domain	IMS_C	111.0	78.37
PF06271		RDD family	RDD	122.0	34.21
PF03960	CL0172	ArsC family	ArsC	108.0	72.76
PF16320		Ribosomal protein L7/L12 dimerisation domain	Ribosomal_L12_N	48.0	66.65
PF00324	CL0062	Amino acid permease	AA_permease	402.0	264.26
PF09148	CL0116	Domain of unknown function (DUF1934)	DUF1934	123.0	70.54
PF00358	CL0105	phosphoenolpyruvate-dependent sugar phosphotransferase system, EIIA 1	PTS_EIIA_1	128.0	157.89
PF13155	CL0413	Toprim-like	Toprim_2	87.0	77.43
PF03829	CL0742	PTS system glucitol/sorbitol-specific IIA component	PTSIIA_gutA	115.0	117.26
PF00662		NADH-Ubiquinone oxidoreductase (complex I), chain 5 N-terminus	Proton_antipo_N	52.0	24.45
PF13167		GTP-binding GTPase N-terminal	GTP-bdg_N	89.0	105.47
PF04960	CL0013	Glutaminase	Glutaminase	288.0	350.9
PF12732		YtxH-like protein	YtxH	108.0	47.26
PF06103		Bacterial protein of unknown function (DUF948)	DUF948	89.0	100.64
PF00687		Ribosomal protein L1p/L10e family	Ribosomal_L1	215.0	239.55
PF03861		ANTAR domain	ANTAR	54.0	74.88
PF01966	CL0237	HD domain	HD	101.0	44.08
PF00072	CL0304	Response regulator receiver domain	Response_reg	111.0	92.14
PF13518	CL0123	Helix-turn-helix domain	HTH_28	30.0	12.18
PF00535	CL0110	Glycosyl transferase family 2	Glycos_transf_2	175.0	74.38
PF00572		Ribosomal protein L13	Ribosomal_L13	119.0	156.09
PF04014	CL0132	Antidote-toxin recognition MazE, bacterial antitoxin	MazE_antitoxin	32.0	31.18
PF01554	CL0222	MatE	MatE	161.0	70.51
PF01648	CL0670	4'-phosphopantetheinyl transferase superfamily	ACPS	112.0	63.09
PF00881	CL0529	Nitroreductase family	Nitroreductase	170.0	68.34
PF06545		Protein of unknown function (DUF1116)	DUF1116	216.0	312.22
PF05343	CL0105	M42 glutamyl aminopeptidase	Peptidase_M42	289.0	295.88
PF03703	CL0266	Bacterial PH domain	bPH_2	77.0	68.34
PF02782	CL0108	FGGY family of carbohydrate kinases, C-terminal domain	FGGY_C	197.0	86.41
PF13489	CL0063	Methyltransferase domain	Methyltransf_23	163.0	59.86
PF03600	CL0182	Citrate transporter	CitMHS	398.0	76.83
PF02687	CL0404	FtsX-like permease family	FtsX	123.0	54.01
PF13379	CL0177	NMT1-like family	NMT1_2	211.0	12.83
PF04794	CL0158	YdjC-like protein	YdjC	240.0	195.93
PF00860	CL0062	Permease family	Xan_ur_permease	382.0	305.74
PF09269		Domain of unknown function (DUF1967)	DUF1967	69.0	87.91
PF00892	CL0184	EamA-like transporter family	EamA	276.0	42.29
PF01316	CL0123	Arginine repressor, DNA binding domain	Arg_repressor	69.0	79.99
PF00011	CL0190	Hsp20/alpha crystallin family	HSP20	104.0	67.35
PF01182	CL0063	Glucosamine-6-phosphate isomerases/6-phosphogluconolactonase	Glucosamine_iso	210.0	58.37
PF00189		Ribosomal protein S3, C-terminal domain	Ribosomal_S3_C	83.0	130.77
PF13537	CL0052	Glutamine amidotransferase domain	GATase_7	120.0	151.85
PF00532	CL0144	Periplasmic binding proteins and sugar binding domain of LacI family	Peripla_BP_1	232.0	70.58
PF16124		RecQ zinc-binding	RecQ_Zn_bind	67.0	26.31
PF11328	CL0352	Protein of unknown function (DUF3130	DUF3130	56.0	81.34
PF14808		TMEM164 family	TMEM164	212.0	179.16
PF03601	CL0064	Conserved hypothetical protein 698	Cons_hypoth698	310.0	272.44
PF07650	CL0007	KH domain	KH_2	74.0	77.71
PF03013		Pyrimidine dimer DNA glycosylase	Pyr_excise	74.0	84.76
PF13580	CL0067	SIS domain	SIS_2	137.0	124.47
PF00393	CL0106	6-phosphogluconate dehydrogenase, C-terminal domain	6PGD	110.0	44.1
PF17871	CL0671	AAA lid domain	AAA_lid_9	108.0	100.74
PF12728	CL0123	Helix-turn-helix domain	HTH_17	28.0	10.45
PF05598		Transposase domain (DUF772)	DUF772	72.0	42.24
PF00673		ribosomal L5P family C-terminus	Ribosomal_L5_C	94.0	140.42
PF02837	CL0202	Glycosyl hydrolases family 2, sugar binding domain	Glyco_hydro_2_N	160.0	60.81
PF02894	CL0139	Oxidoreductase family, C-terminal alpha/beta domain	GFO_IDH_MocA_C	186.0	26.53
PF03951		Glutamine synthetase, beta-Grasp domain	Gln-synt_N	83.0	113.32
PF17136	CL0010	Ribosomal proteins 50S L24/mitochondrial 39S L24	ribosomal_L24	64.0	109.09
PF08864		UPF0302 domain	UPF0302	105.0	117.25
PF05552		Mechanosensitive ion channel, conserved TM helix	MS_channel_1st_1	50.0	54.65
PF13673	CL0257	Acetyltransferase (GNAT) domain	Acetyltransf_10	134.0	35.69
PF03979		Sigma-70 factor, region 1.1	Sigma70_r1_1	82.0	48.41
PF01458		SUF system FeS cluster assembly, SufBD	SUFBD	227.0	246.9
PF02540	CL0039	NAD synthase	NAD_synthase	103.0	32.03
PF12228	CL0036	Protein of unknown function (DUF3604)	DUF3604	99.0	11.65
PF02607		B12 binding domain	B12-binding_2	74.0	44.37
PF04468		PSP1 C-terminal conserved region	PSP1	86.0	112.92
PF01638	CL0123	HxlR-like helix-turn-helix	HxlR	90.0	57.38
PF00216	CL0548	Bacterial DNA-binding protein	Bac_DNA_binding	90.0	129.8
PF11311		Protein of unknown function (DUF3114)	DUF3114	280.0	82.96
PF02417		Chromate transporter	Chromate_transp	183.0	142.88
PF11104	CL0108	Type IV pilus assembly protein PilM;	PilM_2	193.0	40.88
PF00359	CL0340	Phosphoenolpyruvate-dependent sugar phosphotransferase system, EIIA 2	PTS_EIIA_2	139.0	132.31
PF00585	CL0070	C-terminal regulatory domain of Threonine dehydratase	Thr_dehydrat_C	93.0	81.71
PF05013	CL0105	N-formylglutamate amidohydrolase	FGase	211.0	174.79
