domain_id	Clan_pfam	Function_pfam	Gene_pfam	alignment_length	bit_score
PF08818	CL0631	Domain of unknown function (DU1801)	DUF1801	96.0	64.01
PF21574		CRISPR-associated endonuclease Cas9, C-terminal domain	Cas9_PI_C	63.0	73.13
PF01555	CL0063	DNA methylase	N6_N4_Mtase	316.0	158.46
PF00875	CL0039	DNA photolyase	DNA_photolyase	161.0	40.18
PF04069	CL0177	Substrate binding domain of ABC-type glycine betaine transport system	OpuAC	255.0	179.32
PF03786	CL0036	D-mannonate dehydratase (UxuA)	UxuA	345.0	527.17
PF21447	CL0237	Ppx/GppA phosphatase, domain III 	Ppx-GppA_III	170.0	45.53
PF03073		TspO/MBR family	TspO_MBR	142.0	129.27
PF01569	CL0525	PAP2 superfamily	PAP2	120.0	53.18
PF02374	CL0023	Anion-transporting ATPase	ArsA_ATPase	284.0	194.76
PF13542	CL0123	Helix-turn-helix domain of transposase family ISL3	HTH_Tnp_ISL3	52.0	21.29
PF01979	CL0036	Amidohydrolase family	Amidohydro_1	388.0	63.03
PF00440	CL0123	Bacterial regulatory proteins, tetR family	TetR_N	41.0	26.77
PF11392		Protein of unknown function (DUF2877)	DUF2877	100.0	80.71
PF02040	CL0182	Arsenical pump membrane protein	ArsB	423.0	637.58
PF14278	CL0174	Transcriptional regulator C-terminal region	TetR_C_8	105.0	53.94
PF02378	CL0493	Phosphotransferase system, EIIC 	PTS_EIIC	276.0	97.93
PF02421	CL0023	Ferrous iron transport protein B	FeoB_N	154.0	195.25
PF00294	CL0118	pfkB family carbohydrate kinase	PfkB	307.0	90.56
PF00005	CL0023	ABC transporter	ABC_tran	150.0	122.9
PF00176	CL0023	SNF2-related domain	SNF2-rel_dom	262.0	82.47
PF06953	CL0172	Arsenical resistance operon protein ArsD	ArsD	115.0	132.06
PF02782	CL0108	FGGY family of carbohydrate kinases, C-terminal domain	FGGY_C	189.0	106.34
PF16242	CL0336	Pyridoxamine 5'-phosphate oxidase like	Pyrid_ox_like	127.0	51.86
PF04545	CL0123	Sigma-70, region 4	Sigma70_r4	40.0	22.31
PF02133	CL0062	Permease for cytosine/purines, uracil, thiamine, allantoin	Transp_cyt_pur	449.0	299.28
PF02615		Malate/L-lactate dehydrogenase	Ldh_2	330.0	398.17
PF00746		LPXTG cell wall anchor motif	Gram_pos_anchor	45.0	19.95
PF21621	CL0029	Mannose-6-phosphate isomerase, cupin domain	MPI_cupin_dom	79.0	74.47
PF09991		Predicted membrane protein (DUF2232)	DUF2232	280.0	186.76
PF00364	CL0105	Biotin-requiring enzyme	Biotin_lipoyl	76.0	62.54
PF06048	CL0023	Domain of unknown function (DUF927)	DUF927	290.0	232.27
PF03265	CL0479	Deoxyribonuclease II	DNase_II	102.0	18.55
PF02590	CL0098	Predicted SPOUT methyltransferase	SPOUT_MTase	158.0	205.35
PF02541	CL0108	Ppx/GppA phosphatase family	Ppx-GppA	289.0	188.34
PF03929	CL0490	PepSY-associated TM region	PepSY_TM	378.0	172.68
PF02403	CL0298	Seryl-tRNA synthetase N-terminal domain	Seryl_tRNA_N	108.0	106.37
PF12833	CL0123	Helix-turn-helix domain	HTH_18	80.0	82.31
PF04014	CL0132	Antidote-toxin recognition MazE, bacterial antitoxin	MazE_antitoxin	47.0	17.51
PF14690	CL0167	zinc-finger of transposase IS204/IS1001/IS1096/IS1165	zf-ISL3	43.0	26.53
PF13686	CL0394	DsrE/DsrF/DrsH-like family	DrsE_2	156.0	184.28
PF03796	CL0023	DnaB-like helicase C terminal domain	DnaB_C	273.0	384.72
PF13090	CL0479	Polyphosphate kinase C-terminal domain 2	PP_kinase_C	171.0	230.94
PF07859	CL0028	alpha/beta hydrolase fold	Abhydrolase_3	221.0	59.82
PF00561	CL0028	alpha/beta hydrolase fold	Abhydrolase_1	266.0	42.95
PF02272		DHHA1 domain	DHHA1	130.0	48.5
PF08280	CL0123	M protein trans-acting positive regulator (MGA) HTH domain	HTH_Mga	53.0	14.37
PF02302	CL0031	PTS system, Lactose/Cellobiose specific IIB subunit	PTS_IIB	92.0	68.59
PF06983	CL0104	3-demethylubiquinone-9 3-methyltransferase	3-dmu-9_3-mt	131.0	29.01
PF06106		S. aureus uracil DNA glycosylase inhibitor	SAUGI	111.0	158.21
PF02836	CL0036	Glycosyl hydrolases family 2, TIM barrel domain	Glyco_hydro_2_C	317.0	270.1
PF07670		Nucleoside recognition	Gate	125.0	69.37
PF07435	CL0285	YycH protein	YycH	438.0	368.05
PF01022	CL0123	Bacterial regulatory protein, arsR family	HTH_5	50.0	50.07
PF13089		Polyphosphate kinase N-terminal domain	PP_kinase_N	107.0	130.04
PF12669		FeoB-associated Cys-rich membrane protein	FeoB_associated	43.0	35.66
PF01281		Ribosomal protein L9, N-terminal domain	Ribosomal_L9_N	47.0	76.66
PF00672	CL0681	HAMP domain	HAMP	53.0	55.78
PF03948		Ribosomal protein L9, C-terminal domain	Ribosomal_L9_C	85.0	99.45
PF00753	CL0381	Metallo-beta-lactamase superfamily	Lactamase_B	187.0	38.38
PF00486	CL0123	Transcriptional regulatory protein, C terminal	Trans_reg_C	77.0	101.43
PF01593	CL0063	Flavin containing amine oxidoreductase	Amino_oxidase	479.0	95.96
PF00709	CL0023	Adenylosuccinate synthetase	Adenylsucc_synt	417.0	610.88
PF01925	CL0292	Sulfite exporter TauE/SafE	TauE	241.0	140.19
PF07638	CL0123	ECF sigma factor	Sigma70_ECF	169.0	31.78
PF04203		Sortase domain	Sortase	140.0	70.03
PF02195	CL0248	ParB/Sulfiredoxin domain	ParBc	90.0	24.73
PF13408	CL0167	Recombinase zinc beta ribbon domain	Zn_ribbon_recom	68.0	43.83
