leaf_id	og_index	superkingdom	kingdom	phylum	class	order	family	genus	species	start_win	end_win	strand_win	start_target	end_target
0	0	Bacteria	unclassified	Bacillota	Bacilli	Bacillales	Listeriaceae	Listeria	Listeria monocytogenes	406223	439169	+	426223	430228
1	1	Bacteria	unclassified	Bacillota	Bacilli	Bacillales	Listeriaceae	Listeria	Listeria monocytogenes	0	32176	-	8171	12176
2	2	Bacteria	unclassified	Bacillota	Bacilli	Bacillales	Listeriaceae	Listeria	Listeria marthii	457330	489856	+	477330	481335
3	3	Bacteria	unclassified	Bacillota	Bacilli	Bacillales	Listeriaceae	Listeria	Listeria innocua	322161	354383	+	342161	346166
4	4	Bacteria	unclassified	Bacillota	Bacilli	Bacillales	Listeriaceae	Listeria	Listeria cossartiae	466771	499068	+	486771	490776
5	5	Bacteria	unclassified	Bacillota	Bacilli	Bacillales	Listeriaceae	Listeria	Listeria cossartiae	496322	528806	+	516322	520327
6	6	Bacteria	unclassified	Bacillota	Bacilli	Bacillales	Listeriaceae	Listeria	Listeria innocua	0	23711	-	899	4904
7	7	Bacteria	unclassified	Bacillota	Bacilli	Bacillales	Listeriaceae	Listeria	Listeria seeligeri	2611594	2655593	-	2631594	2635593
8	8	Bacteria	unclassified	Bacillota	Bacilli	Bacillales	Listeriaceae	Listeria	Listeria ivanovii	78656	112326	+	98656	102661
9	9	Bacteria	unclassified	Bacillota	Bacilli	Bacillales	Listeriaceae	Listeria	Listeria innocua	0	10380	+	0	3486
10	10	Bacteria	unclassified	Bacillota	Bacilli	Bacillales	Listeriaceae	Listeria	Listeria monocytogenes	0	3486	+	310	3486
11	11	Bacteria	unclassified	Bacillota	Bacilli	Bacillales	Listeriaceae	Listeria	Listeria monocytogenes	0	6455	+	0	3414
12	12	Bacteria	unclassified	Bacillota	Bacilli	Bacillales	Listeriaceae	Listeria	Listeria monocytogenes	0	7994	+	0	2869
13	13	Bacteria	unclassified	Bacillota	Bacilli	Bacillales	Listeriaceae	Listeria	Listeria monocytogenes	0	6021	+	0	2980
14	14	Bacteria	unclassified	Bacillota	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	Enterococcus larvae	179740	223754	+	199740	203754
15	15	Bacteria	unclassified	Bacillota	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	Enterococcus sp. 9E7_DIV0242	3284241	3328255	+	3304241	3308255
16	16	Bacteria	unclassified	Bacillota	Bacilli	Bacillales	Listeriaceae	Listeria	Listeria monocytogenes	0	4665	+	0	2866
17	17	Bacteria	unclassified	Bacillota	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	Enterococcus devriesei	289730	333726	-	309730	313726
18	18	Bacteria	unclassified	Bacillota	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	Enterococcus massiliensis	563011	607004	+	583011	587004
19	19	Bacteria	unclassified	Bacillota	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	Enterococcus xiangfangensis	0	38474	+	14484	18474
20	20	Bacteria	unclassified	Bacillota	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	Enterococcus viikkiensis	0	24467	-	2184	6180
21	21	Bacteria	unclassified	Bacillota	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	Enterococcus sp.	0	36773	+	12774	16773
22	22	Bacteria	unclassified	Bacillota	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	Enterococcus pseudoavium	270864	314857	+	290864	294857
23	23	Bacteria	unclassified	Bacillota	Bacilli	Bacillales	Listeriaceae	Listeria	Listeria valentina	0	39314	+	15988	19987
24	24	Bacteria	unclassified	Bacillota	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	Enterococcus dongliensis	64584	94587	-	84584	88571
25	25	Bacteria	unclassified	Bacillota	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	Enterococcus phoeniculicola	1257717	1301722	-	1277717	1281722
26	26	Bacteria	unclassified	Bacillota	Bacilli	Bacillales	Listeriaceae	Listeria	Listeria ivanovii	2945318	2988180	+	2965318	2968180
27	27	Bacteria	unclassified	Bacillota	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	Enterococcus sp. N48-2	61833	97290	-	81833	85829
28	28	Bacteria	unclassified	Bacillota	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	Enterococcus avium	55877	99885	+	75877	79885
29	29	Bacteria	unclassified	Bacillota	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	Enterococcus hulanensis	191644	235652	-	211644	215652
30	30	Bacteria	unclassified	Bacillota	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	Enterococcus gallinarum	0	42198	+	18190	22198
31	31	Bacteria	unclassified	Bacillota	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	Enterococcus sp. CWB-B31	114742	158753	+	134742	138753
32	32	Bacteria	unclassified	Bacillota	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	Enterococcus sp.	0	10561	+	4075	8089
33	33	Bacteria	unclassified	Bacillota	Bacilli	Bacillales	Listeriaceae	Listeria	Listeria monocytogenes	0	10644	+	0	2392
34	34	Bacteria	unclassified	Bacillota	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	Enterococcus sp.	5741	49746	-	25741	29746
35	35	Bacteria	unclassified	Bacillota	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	Enterococcus faecalis	38691	82711	+	58691	62711
36	36	Bacteria	unclassified	Bacillota	Bacilli	Bacillales	Listeriaceae	Listeria	Listeria monocytogenes	0	2710	+	220	2710
37	37	Bacteria	unclassified	Bacillota	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	Enterococcus timonensis	1093245	1137274	-	1113245	1117274
38	38	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	unidentified	0	26855	-	8672	12683
39	39	Bacteria	unclassified	Bacillota	Bacilli	Lactobacillales	Enterococcaceae	Vagococcus	Vagococcus sp.	10013	46414	-	30013	34012
40	40	Bacteria	unclassified	Bacillota	Bacilli	Bacillales	Listeriaceae	Listeria	Listeria seeligeri	2714222	2756849	-	2734222	2736849
41	41	Bacteria	unclassified	Bacillota	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus mutans	0	18613	-	2723	6761
42	42	Bacteria	unclassified	Bacillota	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	Enterococcus sp. DIV1314a	1844404	1888427	+	1864404	1868427
43	43	Bacteria	unclassified	Bacillota	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus orisratti	4196	31650	+	24196	28237
44	44	Bacteria	unclassified	Bacillota	Bacilli	Bacillales	Listeriaceae	Listeria	Listeria sp. ILCC792	113288	157284	-	133288	137284
45	45	Bacteria	unclassified	Bacillota	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	Enterococcus thailandicus	0	33131	-	9153	13131
46	46	Bacteria	unclassified	Bacillota	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus sp. 'caviae'	26659	70691	+	46659	50691
47	47	Bacteria	unclassified	Bacillota	Bacilli	Bacillales	Bacillaceae	Halolactibacillus	Halolactibacillus alkaliphilus	103442	139371	-	123442	127459
48	48	Bacteria	unclassified	Bacillota	Bacilli	Lactobacillales	Enterococcaceae	Vagococcus	Vagococcus humatus	17861	61869	-	37861	41869
49	49	Bacteria	unclassified	Bacillota	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	Enterococcus lemanii	21706	48491	+	41706	45729
50	50	Bacteria	unclassified	Bacillota	Bacilli	Lactobacillales	Enterococcaceae	Vagococcus	Vagococcus sp.	0	27945	+	3925	7945
51	51	Bacteria	unclassified	Bacillota	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	Enterococcus faecium	27486	71509	-	47486	51509
52	52	Bacteria	unclassified	Bacillota	Bacilli	Bacillales	Bacillaceae	Streptohalobacillus	Streptohalobacillus salinus	186254	230280	+	206254	210280
53	53	Bacteria	unclassified	Bacillota	Bacilli	Lactobacillales	Enterococcaceae	Vagococcus	Vagococcus sp. DIV0080	85290	113369	+	105290	109307
54	54	Bacteria	unclassified	Bacillota	Bacilli	Bacillales	Bacillaceae	Pelagirhabdus	Pelagirhabdus alkalitolerans	337684	381698	-	357684	361698
55	55	Bacteria	unclassified	Bacillota	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	uncultured Streptococcus sp.	39329	82330	-	59329	63430
56	56	Bacteria	unclassified	Bacillota	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus mutans	0	26762	-	2724	6762
57	57	Bacteria	unclassified	Bacillota	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus panodentis	50101	81957	-	70101	74190
58	58	Bacteria	unclassified	Bacillota	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus agalactiae	1597608	1641721	+	1617608	1621721
59	59	Bacteria	unclassified	Bacillota	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus sp. F0441	0	34989	+	10873	14989
60	60	Bacteria	unclassified	Bacillota	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus mutans	49974	94054	-	69974	74054
61	61	Bacteria	unclassified	Bacillota	Bacilli	Lactobacillales	Aerococcaceae	Falseniella	Falseniella ignava	0	33709	+	9593	13709
