leaf_id	og_index	superkingdom	kingdom	phylum	class	order	family	genus	species	start_win	end_win	strand_win	start_target	end_target
0	3074		unclassified						unidentified					
1	0	Bacteria	unclassified	Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas koreensis	0.0	71652.0	+	31035.0	31652.0
2	1	Bacteria	unclassified	Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas sp. B21-021	4317240.0	4398277.0	-	4357240.0	4358277.0
3	2	Bacteria	unclassified	Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas chlororaphis	2146190.0	2227233.0	+	2186190.0	2187233.0
4	3	Bacteria	unclassified	Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas lactis					
5	4	Bacteria	unclassified	Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas sp. TMW 2.1634	1718319.0	1799365.0	-	1758319.0	1759365.0
6	5	Bacteria	unclassified	Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas sp. QTF5	0.0	40577.0	-	37186.0	38217.0
7	6	Bacteria	unclassified	Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas mosselii	3733842.0	3814969.0	-	3773842.0	3774969.0
8	7	Bacteria	unclassified	Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas aeruginosa	0.0	64255.0	-	23227.0	24255.0
9	8	Bacteria	unclassified	Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas putida					
10	9	Bacteria	unclassified	Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas protegens	0.0	5559.0	+	3985.0	5016.0
11	10	Bacteria	unclassified	Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas sp. AA-38	3263567.0	3344601.0	-	3303567.0	3304601.0
12	11	Bacteria	unclassified	Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas aeruginosa	20288.0	101265.0	-	60288.0	61265.0
13	12	Bacteria	unclassified	Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas chlororaphis	2391969.0	2473006.0	+	2431969.0	2433006.0
14	13	Bacteria	unclassified	Pseudomonadota	Gammaproteobacteria	Pseudomonadales			Pseudomonadales bacterium	0.0	47903.0	-	6917.0	7903.0
15	14	Bacteria	unclassified	Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas agarici	110701.0	191603.0	+	150701.0	151603.0
16	15	Bacteria	unclassified	Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas viridiflava	2779304.0	2860332.0	-	2819304.0	2820332.0
17	16	Bacteria	unclassified	Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Stutzerimonas	[Pseudomonas] sp. BICA1-14	0.0	64820.0	+	36370.0	37413.0
18	17	Bacteria	unclassified	Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas helleri	4133028.0	4214071.0	+	4173028.0	4174071.0
19	18	Bacteria	unclassified	Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas oleovorans	12819.0	68028.0	+	52819.0	53856.0
20	19	Bacteria	unclassified	Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas fluorescens	61364.0	142401.0	+	101364.0	102401.0
21	20	Bacteria	unclassified	Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas mandelii	4448000.0	4528740.0	+	4488000.0	4488740.0
22	21	Bacteria	unclassified	Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas sp. ML2-2023-6	646151.0	727164.0	+	686151.0	687164.0
23	22	Bacteria	unclassified	Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas sp. RW3S2	115217.0	196254.0	-	155217.0	156254.0
24	23	Bacteria	unclassified	Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas sp. IAC-BECa141	4052313.0	4132687.0	-	4092313.0	4092687.0
25	24	Bacteria	unclassified	Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas sp.	12980.0	55166.0	-	52980.0	53963.0
26	25	Bacteria	unclassified	Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas salomonii	51107.0	132135.0	-	91107.0	92135.0
27	26	Bacteria	unclassified	Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas asiatica	3967338.0	4048438.0	-	4007338.0	4008438.0
28	27	Bacteria	unclassified	Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas otitidis	18762.0	99787.0	+	58762.0	59787.0
29	28	Bacteria	unclassified	Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas protegens	352590.0	433711.0	+	392590.0	393711.0
30	29	Bacteria	unclassified	Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas fluorescens	151859.0	193120.0	+	191859.0	192548.0
31	30	Bacteria	unclassified	Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas savastanoi	0.0	19345.0	+	2983.0	4086.0
32	31	Bacteria	unclassified	Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Halopseudomonas	Halopseudomonas bauzanensis	212906.0	293904.0	-	252906.0	253904.0
33	32	Bacteria	unclassified	Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas putida	16768.0	97922.0	-	56768.0	57922.0
34	33	Bacteria	unclassified	Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas citronellolis	150778.0	231851.0	+	190778.0	191851.0
35	34	Bacteria	unclassified	Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas guariconensis	67686.0	148747.0	-	107686.0	108747.0
36	35	Bacteria	unclassified	Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas aeruginosa	22532.0	86403.0	-	62532.0	63602.0
37	36	Bacteria	unclassified	Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas syringae	139642.0	220763.0	+	179642.0	180763.0
38	37	Bacteria	unclassified	Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas syringae	2551059.0	2632180.0	-	2591059.0	2592180.0
39	38	Bacteria	unclassified	Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas putida	3962428.0	4043552.0	-	4002428.0	4003552.0
40	39	Bacteria	unclassified	Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas sp. R4-35-07	4719253.0	4800263.0	+	4759253.0	4760263.0
41	40	Bacteria	unclassified	Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas sp. RW3S2	313943.0	395055.0	-	353943.0	355055.0
42	41	Bacteria	unclassified	Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas orientalis	3528064.0	3609179.0	-	3568064.0	3569179.0
43	42	Bacteria	unclassified	Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas granadensis	175267.0	256337.0	+	215267.0	216337.0
44	43	Bacteria	unclassified	Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas sp. S36	38000.0	101426.0	-	78000.0	79046.0
45	44	Bacteria	unclassified	Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas asiatica	400679.0	481803.0	-	440679.0	441803.0
46	45	Bacteria	unclassified	Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas viridiflava	49897.0	131018.0	+	89897.0	91018.0
47	46	Bacteria	unclassified	Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas fulva	112985.0	194082.0	+	152985.0	154082.0
48	47	Bacteria	unclassified	Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas sp. G5(2012)	0.0	51525.0	+	10368.0	11525.0
49	48		unclassified						unidentified	66785.0	147909.0	-	106785.0	107909.0
50	49	Bacteria	unclassified	Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas sp. N3-W	3039774.0	3120730.0	+	3079774.0	3080730.0
51	50	Bacteria	unclassified	Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas fluorescens	26521.0	107636.0	+	66521.0	67636.0
52	51	Bacteria	unclassified	Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas donghuensis	167073.0	248185.0	-	207073.0	208185.0
53	52	Bacteria	unclassified	Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas sp. T1.Ur	871152.0	952267.0	+	911152.0	912267.0
54	53	Bacteria	unclassified	Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas corrugata					
55	54	Bacteria	unclassified	Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas tehranensis	0.0	31472.0	-	17987.0	19039.0
56	55	Bacteria	unclassified	Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas mendocina	0.0	40716.0	-	57.0	716.0
57	56	Bacteria	unclassified	Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas asiatica					
58	57	Bacteria	unclassified	Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas rustica	35568.0	116656.0	+	75568.0	76656.0
59	58	Bacteria	unclassified	Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas solani	1180072.0	1261142.0	-	1220072.0	1221142.0
60	59	Bacteria	unclassified	Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas sp. UYIF39	0.0	42407.0	-	1277.0	2407.0
61	60	Bacteria	unclassified	Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas orientalis	26442.0	107488.0	-	66442.0	67488.0
62	61	Bacteria	unclassified	Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas sp. StFLB209	4480192.0	4561232.0	+	4520192.0	4521232.0
63	62	Bacteria	unclassified	Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas sp. BR1R-5	94562.0	175686.0	+	134562.0	135686.0
64	63		unclassified						unidentified	0.0	56190.0	-	31894.0	32904.0
65	64	Bacteria	unclassified	Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas sp. FSL R10-0071	29327.0	110457.0	-	69327.0	70457.0
66	65	Bacteria	unclassified	Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas syringae	2093012.0	2174058.0	+	2133012.0	2134058.0
